train_id,service_date,station_code,arrival_time,departure_time,platform,sequence
P204,2026-09-07,AJJ,11:15,11:20,1,4
P204,2026-09-07,Bengaluru,14:00,--,4,5
G456,2026-09-07,AJJ,--,11:10,3,1
G456,2026-09-07,Walajah,11:30,11:35,1,2
G456,2026-09-07,RU,12:00,--,2,3
P301,2026-09-07,Villupuram,--,07:05,1,1
P301,2026-09-07,TLGP,07:40,07:42,1,2
P301,2026-09-07,CGL,08:15,08:18,2,3
P301,2026-09-07,TBM,08:40,08:43,1,4
P301,2026-09-07,Chennai,09:10,--,5,5
G789,2026-09-07,TBM,--,13:10,2,1
G789,2026-09-07,CGL,13:25,--,1,2
P105,2026-09-07,Chennai,--,14:35,2,1
P105,2026-09-07,TBM,14:50,14:53,1,2
P105,2026-09-07,CGL,15:10,15:13,2,3
P105,2026-09-07,Villupuram,16:30,--,1,4
G234,2026-09-07,RU,--,15:05,1,1
G234,2026-09-07,Walajah,15:25,15:28,1,2
G234,2026-09-07,AJJ,15:50,--,3,3
P410,2026-09-07,Bengaluru,--,12:00,3,1
P410,2026-09-07,KPD,15:30,15:35,1,2
P410,2026-09-07,AJJ,16:00,16:05,2,3
P410,2026-09-07,Chennai,17:00,--,4,4
P602,2026-09-07,CGL,--,06:35,1,1
P602,2026-09-07,TBM,06:50,06:53,2,2
P602,2026-09-07,Chennai,07:30,--,3,3
G567,2026-09-07,Chennai,--,18:05,3,1
G567,2026-09-07,TBM,18:20,--,2,2
G890,2026-09-07,AJJ,--,19:30,2,1
G890,2026-09-07,Chennai,20:10,--,4,2
P715,2026-09-07,Chennai,--,08:05,1,1
P715,2026-09-07,Perambur,08:15,08:17,1,2
P715,2026-09-07,AJJ,09:00,--,2,3
G123,2026-09-08,Chennai,--,09:35,3,1
G123,2026-09-08,Perambur,09:45,09:47,1,2
G123,2026-09-08,AJJ,10:10,--,2,3
P204,2026-09-08,Chennai,--,10:05,1,1
P204,2026-09-08,Perambur,10:15,10:17,2,2
P204,2026-09-08,KPD,10:45,10:50,1,3
P204,2026-09-08,AJJ,11:15,11:20,1,4
P204,2026-09-08,Bengaluru,14:00,--,4,5
G456,2026-09-08,AJJ,--,11:10,3,1
G456,2026-09-08,Walajah,11:30,11:35,1,2
G456,2026-09-08,RU,12:00,--,2,3
P301,2026-09-08,Villupuram,--,07:05,1,1
P301,2026-09-08,TLGP,07:40,07:42,1,2
P301,2026-09-08,CGL,08:15,08:18,2,3
P301,2026-09-08,TBM,08:40,08:43,1,4
P301,2026-09-08,Chennai,09:10,--,5,5
G789,2026-09-08,TBM,--,13:10,2,1
G789,2026-09-08,CGL,13:25,--,1,2
P105,2026-09-08,Chennai,--,14:35,2,1
P105,2026-09-08,TBM,14:50,14:53,1,2
P105,2026-09-08,CGL,15:10,15:13,2,3
P105,2026-09-08,Villupuram,16:30,--,1,4
G234,2026-09-08,RU,--,15:05,1,1
G234,2026-09-08,Walajah,15:25,15:28,1,2
G234,2026-09-08,AJJ,15:50,--,3,3
P410,2026-09-08,Bengaluru,--,12:00,3,1
P410,2026-09-08,KPD,15:30,15:35,1,2
P410,2026-09-08,AJJ,16:00,16:05,2,3
P410,2026-09-08,Chennai,17:00,--,4,4
P602,2026-09-08,CGL,--,06:35,1,1
P602,2026-09-08,TBM,06:50,06:53,2,2
P602,2026-09-08,Chennai,07:30,--,3,3
G567,2026-09-08,Chennai,--,18:05,3,1
G567,2026-09-08,TBM,18:20,--,2,2
G890,2026-09-08,AJJ,--,19:30,2,1
G890,2026-09-08,Chennai,20:10,--,4,2
P715,2026-09-08,Chennai,--,08:05,1,1
P715,2026-09-08,Perambur,08:15,08:17,1,2
P715,2026-09-08,AJJ,09:00,--,2,3
G123,2026-09-09,Chennai,--,09:35,3,1
G123,2026-09-09,Perambur,09:45,09:47,1,2
G123,2026-09-09,AJJ,10:10,--,2,3
P204,2026-09-09,Chennai,--,10:05,1,1
P204,2026-09-09,Perambur,10:15,10:17,2,2
P204,2026-09-09,KPD,10:45,10:50,1,3
P204,2026-09-09,AJJ,11:15,11:20,1,4
P204,2026-09-09,Bengaluru,14:00,--,4,5
G456,2026-09-09,AJJ,--,11:10,3,1
G456,2026-09-09,Walajah,11:30,11:35,1,2
G456,2026-09-09,RU,12:00,--,2,3
P301,2026-09-09,Villupuram,--,07:05,1,1
P301,2026-09-09,TLGP,07:40,07:42,1,2
P301,2026-09-09,CGL,08:15,08:18,2,3
P301,2026-09-09,TBM,08:40,08:43,1,4
P301,2026-09-09,Chennai,09:10,--,5,5
G789,2026-09-09,TBM,--,13:10,2,1
G789,2026-09-09,CGL,13:25,--,1,2
P105,2026-09-09,Chennai,--,14:35,2,1
P105,2026-09-09,TBM,14:50,14:53,1,2
P105,2026-09-09,CGL,15:10,15:13,2,3
P105,2026-09-09,Villupuram,16:30,--,1,4
G234,2026-09-09,RU,--,15:05,1,1
G234,2026-09-09,Walajah,15:25,15:28,1,2
G234,2026-09-09,AJJ,15:50,--,3,3
P410,2026-09-09,Bengaluru,--,12:00,3,1
P410,2026-09-09,KPD,15:30,15:35,1,2
P410,2026-09-09,AJJ,16:00,16:05,2,3
P410,2026-09-09,Chennai,17:00,--,4,4
P602,2026-09-09,CGL,--,06:35,1,1
P602,2026-09-09,TBM,06:50,06:53,2,2
P602,2026-09-09,Chennai,07:30,--,3,3
G567,2026-09-09,Chennai,--,18:05,3,1
G567,2026-09-09,TBM,18:20,--,2,2
G890,2026-09-09,AJJ,--,19:30,2,1
G890,2026-09-09,Chennai,20:10,--,4,2
P715,2026-09-09,Chennai,--,08:05,1,1
P715,2026-09-09,Perambur,08:15,08:17,1,2
P715,2026-09-09,AJJ,09:00,--,2,3
G123,2026-09-10,Chennai,--,09:35,3,1
G123,2026-09-10,Perambur,09:45,09:47,1,2
G123,2026-09-10,AJJ,10:10,--,2,3
P204,2026-09-10,Chennai,--,10:05,1,1
P204,2026-09-10,Perambur,10:15,10:17,2,2
P204,2026-09-10,KPD,10:45,10:50,1,3
P204,2026-09-10,AJJ,11:15,11:20,1,4
P204,2026-09-10,Bengaluru,14:00,--,4,5
G456,2026-09-10,AJJ,--,11:10,3,1
G456,2026-09-10,Walajah,11:30,11:35,1,2
G456,2026-09-10,RU,12:00,--,2,3
P301,2026-09-10,Villupuram,--,07:05,1,1
P301,2026-09-10,TLGP,07:40,07:42,1,2
P301,2026-09-10,CGL,08:15,08:18,2,3
P301,2026-09-10,TBM,08:40,08:43,1,4
P301,2026-09-10,Chennai,09:10,--,5,5
G789,2026-09-10,TBM,--,13:10,2,1
G789,2026-09-10,CGL,13:25,--,1,2
P105,2026-09-10,Chennai,--,14:35,2,1
P105,2026-09-10,TBM,14:50,14:53,1,2
P105,2026-09-10,CGL,15:10,15:13,2,3
P105,2026-09-10,Villupuram,16:30,--,1,4
G234,2026-09-10,RU,--,15:05,1,1
G234,2026-09-10,Walajah,15:25,15:28,1,2
G234,2026-09-10,AJJ,15:50,--,3,3
P410,2026-09-10,Bengaluru,--,12:00,3,1
P410,2026-09-10,KPD,15:30,15:35,1,2
P410,2026-09-10,AJJ,16:00,16:05,2,3
P410,2026-09-10,Chennai,17:00,--,4,4
P602,2026-09-10,CGL,--,06:35,1,1
P602,2026-09-10,TBM,06:50,06:53,2,2
P602,2026-09-10,Chennai,07:30,--,3,3
G567,2026-09-10,Chennai,--,18:05,3,1
G567,2026-09-10,TBM,18:20,--,2,2
G890,2026-09-10,AJJ,--,19:30,2,1
G890,2026-09-10,Chennai,20:10,--,4,2
P715,2026-09-10,Chennai,--,08:05,1,1
P715,2026-09-10,Perambur,08:15,08:17,1,2
P715,2026-09-10,AJJ,09:00,--,2,3
G123,2026-09-11,Chennai,--,09:35,3,1
G123,2026-09-11,Perambur,09:45,09:47,1,2
G123,2026-09-11,AJJ,10:10,--,2,3
P204,2026-09-11,Chennai,--,10:05,1,1
P204,2026-09-11,Perambur,10:15,10:17,2,2
P204,2026-09-11,KPD,10:45,10:50,1,3
P204,2026-09-11,AJJ,11:15,11:20,1,4
P204,2026-09-11,Bengaluru,14:00,--,4,5
G456,2026-09-11,AJJ,--,11:10,3,1
G456,2026-09-11,Walajah,11:30,11:35,1,2
G456,2026-09-11,RU,12:00,--,2,3
P301,2026-09-11,Villupuram,--,07:05,1,1
P301,2026-09-11,TLGP,07:40,07:42,1,2
P301,2026-09-11,CGL,08:15,08:18,2,3
P301,2026-09-11,TBM,08:40,08:43,1,4
P301,2026-09-11,Chennai,09:10,--,5,5
G789,2026-09-11,TBM,--,13:10,2,1
G789,2026-09-11,CGL,13:25,--,1,2
P105,2026-09-11,Chennai,--,14:35,2,1
P105,2026-09-11,TBM,14:50,14:53,1,2
P105,2026-09-11,CGL,15:10,15:13,2,3
P105,2026-09-11,Villupuram,16:30,--,1,4
G234,2026-09-11,RU,--,15:05,1,1
G234,2026-09-11,Walajah,15:25,15:28,1,2
G234,2026-09-11,AJJ,15:50,--,3,3
P410,2026-09-11,Bengaluru,--,12:00,3,1
P410,2026-09-11,KPD,15:30,15:35,1,2
P410,2026-09-11,AJJ,16:00,16:05,2,3
P410,2026-09-11,Chennai,17:00,--,4,4
P602,2026-09-11,CGL,--,06:35,1,1
P602,2026-09-11,TBM,06:50,06:53,2,2
P602,2026-09-11,Chennai,07:30,--,3,3
G567,2026-09-11,Chennai,--,18:05,3,1
G567,2026-09-11,TBM,18:20,--,2,2
G890,2026-09-11,AJJ,--,19:30,2,1
G890,2026-09-11,Chennai,20:10,--,4,2
P715,2026-09-11,Chennai,--,08:05,1,1
P715,2026-09-11,Perambur,08:15,08:17,1,2
P715,2026-09-11,AJJ,09:00,--,2,3
